id,fuel_type,price_per_litre,region,source,recorded_at,is_active
38,petrol,1.391,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
39,diesel,1.482,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
40,petrol,1.392,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
41,diesel,1.479,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
42,petrol,1.389,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
43,diesel,1.477,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
44,petrol,1.387,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
45,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
46,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
47,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
48,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
49,diesel,1.476,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
50,petrol,1.386,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
51,diesel,1.490,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
52,petrol,1.400,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
53,diesel,1.495,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
54,petrol,1.405,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
55,diesel,1.479,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
56,petrol,1.389,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
57,diesel,1.485,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
58,petrol,1.395,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
59,diesel,1.490,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
60,petrol,1.400,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
61,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
62,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
63,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
64,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
65,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
66,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
67,diesel,1.479,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
68,petrol,1.389,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
69,diesel,1.483,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
72,petrol,1.393,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
70,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
73,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
71,diesel,1.478,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
74,petrol,1.388,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
75,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
76,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
77,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
78,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
79,diesel,1.483,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
80,petrol,1.393,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
81,diesel,1.482,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
82,petrol,1.392,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
83,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
84,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
85,diesel,1.477,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
86,petrol,1.387,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
87,diesel,1.477,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
88,petrol,1.387,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
91,diesel,1.485,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
94,petrol,1.395,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
117,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
118,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
147,diesel,1.479,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
148,petrol,1.389,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
161,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
162,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
181,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
182,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
199,diesel,1.478,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
200,petrol,1.388,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
219,diesel,1.490,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
220,petrol,1.400,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
239,diesel,1.485,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
240,petrol,1.395,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
259,diesel,1.476,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
260,petrol,1.386,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
279,diesel,1.491,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
280,petrol,1.401,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
299,diesel,1.484,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
300,petrol,1.394,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
319,diesel,1.478,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
320,petrol,1.388,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
339,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
340,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
359,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
360,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
379,diesel,1.491,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
380,petrol,1.401,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
399,diesel,1.476,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
400,petrol,1.386,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
416,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
417,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
427,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
428,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
447,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
448,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
467,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
468,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
485,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
486,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
505,diesel,1.485,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
506,petrol,1.395,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
523,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
524,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
543,diesel,1.493,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
544,petrol,1.403,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
563,diesel,1.486,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
564,petrol,1.396,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
583,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
584,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
603,diesel,1.483,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
604,petrol,1.393,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
623,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
624,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
643,diesel,1.490,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
644,petrol,1.400,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
663,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
664,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
683,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
684,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
703,diesel,1.478,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
704,petrol,1.388,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
723,diesel,1.483,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
724,petrol,1.393,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
737,diesel,1.481,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
738,petrol,1.391,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
753,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
754,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
769,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
770,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
787,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
788,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
807,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
808,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
821,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
822,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
841,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
842,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
859,diesel,1.476,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
860,petrol,1.386,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
875,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
876,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
905,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
906,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
923,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
924,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
99,diesel,1.484,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
100,petrol,1.394,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
109,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
110,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
127,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
128,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
135,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
136,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
157,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
158,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
175,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
176,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
195,diesel,1.486,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
196,petrol,1.396,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
215,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
216,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
237,diesel,1.482,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
238,petrol,1.392,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
257,diesel,1.491,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
258,petrol,1.401,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
277,diesel,1.492,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
278,petrol,1.402,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
297,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
298,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
317,diesel,1.475,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
318,petrol,1.385,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
337,diesel,1.482,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
338,petrol,1.392,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
357,diesel,1.493,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
358,petrol,1.403,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
377,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
378,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
397,diesel,1.486,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
398,petrol,1.396,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
411,diesel,1.491,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
421,petrol,1.401,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
433,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
434,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
453,diesel,1.477,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
454,petrol,1.387,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
473,diesel,1.490,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
474,petrol,1.400,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
493,diesel,1.479,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
494,petrol,1.389,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
511,diesel,1.494,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
512,petrol,1.404,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
529,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
530,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:41 GMT+0000 (Coordinated Universal Time),true
